pointNum,X_target,Y_target,X_real,Y_real
0,0,0,-186.865,191.071
1,16,0,-170.864,191.136
2,32,0,-154.866,191.198
3,48,0,-138.864,191.261
4,64,0,-122.863,191.322
5,80,0,-106.863,191.384
6,96,0,-90.856,191.448
7,112,0,-74.8516,191.512
8,128,0,-58.8459,191.574
9,144,0,-42.8386,191.636
10,160,0,-26.8309,191.701
11,176,0,-10.8255,191.764
12,192,0,5.1836,191.828
13,208,0,21.1926,191.891
14,0,-16,-186.809,175.084
15,16,-16,-170.808,175.15
16,32,-16,-154.808,175.214
17,48,-16,-138.808,175.277
18,64,-16,-122.808,175.339
19,80,-16,-106.805,175.403
20,96,-16,-90.8008,175.466
21,112,-16,-74.7957,175.531
22,128,-16,-58.7897,175.594
23,144,-16,-42.7836,175.656
24,160,-16,-26.7759,175.721
25,176,-16,-10.7677,175.785
26,192,-16,5.23948,175.85
27,208,-16,21.2489,175.915
28,0,-32,-186.756,159.096
29,16,-32,-170.757,159.16
30,32,-32,-154.754,159.226
31,48,-32,-138.753,159.291
32,64,-32,-122.753,159.356
33,80,-32,-106.751,159.418
34,96,-32,-90.7452,159.483
35,112,-32,-74.7414,159.546
36,128,-32,-58.7367,159.61
37,144,-32,-42.7287,159.674
38,160,-32,-26.7217,159.739
39,176,-32,-10.714,159.804
40,192,-32,5.2933,159.869
41,208,-32,21.3033,159.933
42,0,-48,-186.704,143.105
43,16,-48,-170.704,143.17
44,32,-48,-154.702,143.234
45,48,-48,-138.703,143.299
46,64,-48,-122.699,143.367
47,80,-48,-106.698,143.431
48,96,-48,-90.6919,143.495
49,112,-48,-74.6873,143.561
50,128,-48,-58.6825,143.624
51,144,-48,-42.6735,143.689
52,160,-48,-26.6667,143.754
53,176,-48,-10.6604,143.819
54,192,-48,5.34771,143.884
55,208,-48,21.3562,143.95
56,0,-64,-186.653,127.112
57,16,-64,-170.652,127.177
58,32,-64,-154.651,127.241
59,48,-64,-138.65,127.305
60,64,-64,-122.648,127.371
61,80,-64,-106.645,127.439
62,96,-64,-90.6389,127.503
63,112,-64,-74.6342,127.569
64,128,-64,-58.629,127.635
65,144,-64,-42.6212,127.698
66,160,-64,-26.614,127.764
67,176,-64,-10.6069,127.829
68,192,-64,5.40061,127.895
69,208,-64,21.411,127.963
70,0,-80,-186.603,111.115
71,16,-80,-170.602,111.18
72,32,-80,-154.601,111.244
73,48,-80,-138.601,111.308
74,64,-80,-122.598,111.373
75,80,-80,-106.595,111.438
76,96,-80,-90.5878,111.508
77,112,-80,-74.5846,111.573
78,128,-80,-58.5784,111.638
79,144,-80,-42.5701,111.703
80,160,-80,-26.5631,111.769
81,176,-80,-10.5564,111.835
82,192,-80,5.45271,111.901
83,208,-80,21.4605,111.967
84,0,-96,-186.553,95.113
85,16,-96,-170.554,95.178
86,32,-96,-154.553,95.2427
87,48,-96,-138.552,95.3063
88,64,-96,-122.551,95.3715
89,80,-96,-106.547,95.4352
90,96,-96,-90.5426,95.5007
91,112,-96,-74.5353,95.5705
92,128,-96,-58.5281,95.6376
93,144,-96,-42.5212,95.7021
94,160,-96,-26.5138,95.7681
95,176,-96,-10.5065,95.8329
96,192,-96,5.50139,95.9008
97,208,-96,21.5103,95.9661
98,0,-112,-186.51,79.1078
99,16,-112,-170.508,79.1738
100,32,-112,-154.507,79.2384
101,48,-112,-138.506,79.3024
102,64,-112,-122.504,79.3661
103,80,-112,-106.502,79.43
104,96,-112,-90.4956,79.4953
105,112,-112,-74.4901,79.5623
106,128,-112,-58.4833,79.6284
107,144,-112,-42.477,79.6977
108,160,-112,-26.4675,79.7634
109,176,-112,-10.4613,79.8283
110,192,-112,5.54792,79.8943
111,208,-112,21.5564,79.9609
112,0,-128,-186.465,63.1014
113,16,-128,-170.465,63.1667
114,32,-128,-154.464,63.2303
115,48,-128,-138.463,63.2927
116,64,-128,-122.461,63.3585
117,80,-128,-106.457,63.4226
118,96,-128,-90.4527,63.4855
119,112,-128,-74.448,63.5515
120,128,-128,-58.4412,63.6165
121,144,-128,-42.4326,63.6829
122,160,-128,-26.4227,63.7531
123,176,-128,-10.4161,63.8183
124,192,-128,5.59213,63.884
125,208,-128,21.6,63.9496
126,0,-144,-186.423,47.0917
127,16,-144,-170.423,47.1559
128,32,-144,-154.423,47.218
129,48,-144,-138.422,47.2813
130,64,-144,-122.42,47.3444
131,80,-144,-106.417,47.409
132,96,-144,-90.4122,47.4734
133,112,-144,-74.4066,47.5378
134,128,-144,-58.3998,47.6018
135,144,-144,-42.3912,47.6655
136,160,-144,-26.384,47.7313
137,176,-144,-10.3743,47.8005
138,192,-144,5.63345,47.8682
139,208,-144,21.6429,47.9345
140,0,-160,-186.382,31.0826
141,16,-160,-170.38,31.1474
142,32,-160,-154.38,31.2104
143,48,-160,-138.38,31.2734
144,64,-160,-122.377,31.3341
145,80,-160,-106.374,31.3971
146,96,-160,-90.3692,31.4616
147,112,-160,-74.362,31.5266
148,128,-160,-58.3558,31.5904
149,144,-160,-42.3486,31.6542
150,160,-160,-26.3402,31.7185
151,176,-160,-10.333,31.7831
152,192,-160,5.67653,31.8496
153,208,-160,21.6862,31.9229
